Datum	Pressure(kPa)
1	   5.644
2	   5.644
3	   5.644
4	   5.644
5	   5.644
6	   5.644
7	   5.634
8	   5.634
9	   5.644
10	   5.634
11	   5.634
12	   5.634
13	   5.634
14	   5.634
15	   5.634
16	   5.644
17	   5.644
18	   5.644
19	   5.634
20	   5.644
21	   5.644
22	   5.644
23	   5.634
24	   5.634
25	   5.655
