Datum	Pressure(kPa)
1	   7.538
2	   7.527
3	   7.527
4	   7.538
5	   7.538
6	   7.538
7	   7.527
8	   7.549
9	   7.549
10	   7.549
11	   7.549
12	   7.538
13	   7.527
14	   7.538
15	   7.538
16	   7.538
17	   7.538
18	   7.527
19	   7.538
20	   7.538
21	   7.538
22	   7.527
23	   7.538
24	   7.538
25	   7.549
