Datum	Pressure(kPa)
1	   8.532
2	   8.543
3	   8.532
4	   8.532
5	   8.543
6	   8.543
7	   8.543
8	   8.543
9	   8.532
10	   8.543
11	   8.522
12	   8.522
13	   8.522
14	   8.522
15	   8.522
16	   8.532
17	   8.532
18	   8.522
19	   8.532
20	   8.522
21	   8.511
22	   8.511
23	   8.511
24	   8.511
25	   8.522
