Datum	Pressure(kPa)
1	  10.084
2	  10.094
3	  10.094
4	  10.084
5	  10.094
6	  10.084
7	  10.084
8	  10.084
9	  10.084
10	  10.084
11	  10.073
12	  10.084
13	  10.084
14	  10.084
15	  10.084
16	  10.084
17	  10.094
18	  10.084
19	  10.084
20	  10.084
21	  10.094
22	  10.084
23	  10.084
24	  10.084
25	  10.084
