Datum	Pressure(kPa)
1	   8.169
2	   8.169
3	   8.159
4	   8.159
5	   8.159
6	   8.169
7	   8.159
8	   8.169
9	   8.159
10	   8.169
11	   8.169
12	   8.159
13	   8.169
14	   8.169
15	   8.159
16	   8.159
17	   8.169
18	   8.159
19	   8.159
20	   8.169
21	   8.169
22	   8.169
23	   8.169
24	   8.180
25	   8.180
