Datum	Pressure(kPa)
1	   6.349
2	   6.349
3	   6.349
4	   6.349
5	   6.349
6	   6.349
7	   6.349
8	   6.339
9	   6.339
10	   6.349
11	   6.339
12	   6.349
13	   6.349
14	   6.349
15	   6.339
16	   6.339
17	   6.349
18	   6.328
19	   6.328
20	   6.328
21	   6.339
22	   6.339
23	   6.328
24	   6.339
25	   6.339
