Datum	Pressure(kPa)
1	   4.019
2	   4.019
3	   4.019
4	   4.019
5	   4.019
6	   4.019
7	   4.008
8	   4.019
9	   4.008
10	   4.019
11	   4.019
12	   4.008
13	   4.008
14	   4.019
15	   4.019
16	   4.029
17	   4.019
18	   4.008
19	   4.019
20	   4.008
21	   4.008
22	   4.019
23	   4.019
24	   4.019
25	   4.008
