Datum	Pressure(kPa)
1	   9.937
2	   9.937
3	   9.937
4	   9.937
5	   9.937
6	   9.926
7	   9.937
8	   9.926
9	   9.937
10	   9.937
11	   9.937
12	   9.937
13	   9.937
14	   9.926
15	   9.937
16	   9.937
17	   9.937
18	   9.947
19	   9.947
20	   9.947
21	   9.947
22	   9.947
23	   9.937
24	   9.947
25	   9.926
