Datum	Pressure(kPa)
1	   9.232
2	   9.232
3	   9.232
4	   9.232
5	   9.232
6	   9.232
7	   9.242
8	   9.242
9	   9.253
10	   9.253
11	   9.242
12	   9.253
13	   9.253
14	   9.253
15	   9.242
16	   9.232
17	   9.242
18	   9.232
19	   9.232
20	   9.232
21	   9.232
22	   9.232
23	   9.232
24	   9.232
25	   9.232
