Datum	Pressure(kPa)
1	   7.880
2	   7.880
3	   7.880
4	   7.880
5	   7.869
6	   7.880
7	   7.880
8	   7.869
9	   7.880
10	   7.880
11	   7.880
12	   7.880
13	   7.880
14	   7.880
15	   7.869
16	   7.880
17	   7.880
18	   7.880
19	   7.880
20	   7.880
21	   7.880
22	   7.880
23	   7.880
24	   7.880
25	   7.869
