Datum	Pressure(kPa)
1	   2.167
2	   2.167
3	   2.167
4	   2.167
5	   2.167
6	   2.167
7	   2.167
8	   2.167
9	   2.167
10	   2.167
11	   2.157
12	   2.167
13	   2.167
14	   2.167
15	   2.178
16	   2.167
17	   2.167
18	   2.167
19	   2.178
20	   2.167
21	   2.167
22	   2.178
23	   2.167
24	   2.167
25	   2.167
