Datum	Pressure(kPa)
1	   2.998
2	   2.988
3	   2.998
4	   2.988
5	   2.988
6	   2.998
7	   2.988
8	   2.988
9	   2.988
10	   2.988
11	   2.988
12	   2.988
13	   2.988
14	   2.988
15	   2.998
16	   2.998
17	   2.998
18	   2.988
19	   2.988
20	   2.988
21	   2.988
22	   2.998
23	   2.988
24	   2.998
25	   2.998
