Datum	Pressure(kPa)
1	  -0.358
2	  -0.368
3	  -0.368
4	  -0.358
5	  -0.368
6	  -0.358
7	  -0.368
8	  -0.368
9	  -0.368
10	  -0.368
11	  -0.368
12	  -0.368
13	  -0.358
14	  -0.368
15	  -0.368
16	  -0.358
17	  -0.358
18	  -0.358
19	  -0.358
20	  -0.368
21	  -0.358
22	  -0.368
23	  -0.368
24	  -0.368
25	  -0.358
