Datum	Pressure(kPa)
1	   8.874
2	   8.874
3	   8.874
4	   8.874
5	   8.885
6	   8.874
7	   8.874
8	   8.874
9	   8.874
10	   8.874
11	   8.874
12	   8.874
13	   8.874
14	   8.874
15	   8.874
16	   8.874
17	   8.874
18	   8.864
19	   8.874
20	   8.874
21	   8.874
22	   8.874
23	   8.874
24	   8.874
25	   8.864
