Datum	Pressure(kPa)
1	  -4.960
2	  -4.971
3	  -4.960
4	  -4.971
5	  -4.960
6	  -4.960
7	  -4.971
8	  -4.971
9	  -4.971
10	  -4.981
11	  -4.971
12	  -4.971
13	  -4.971
14	  -4.971
15	  -4.971
16	  -4.971
17	  -4.971
18	  -4.960
19	  -4.971
20	  -4.971
21	  -4.971
22	  -4.971
23	  -4.971
24	  -4.971
25	  -4.981
