Datum	Pressure(kPa)
1	   5.034
2	   5.034
3	   5.034
4	   5.034
5	   5.034
6	   5.034
7	   5.034
8	   5.034
9	   5.034
10	   5.034
11	   5.034
12	   5.034
13	   5.034
14	   5.034
15	   5.034
16	   5.024
17	   5.024
18	   5.024
19	   5.024
20	   5.013
21	   5.024
22	   5.013
23	   5.024
24	   5.034
25	   5.045
