Datum	Pressure(kPa)
1	  10.599
2	  10.610
3	  10.599
4	  10.599
5	  10.599
6	  10.599
7	  10.599
8	  10.599
9	  10.599
10	  10.599
11	  10.599
12	  10.599
13	  10.610
14	  10.599
15	  10.599
16	  10.599
17	  10.610
18	  10.610
19	  10.599
20	  10.599
21	  10.599
22	  10.599
23	  10.610
24	  10.599
25	  10.599
