Datum	Pressure(kPa)
1	   0.836
2	   0.836
3	   0.836
4	   0.836
5	   0.826
6	   0.836
7	   0.836
8	   0.826
9	   0.826
10	   0.836
11	   0.836
12	   0.836
13	   0.836
14	   0.836
15	   0.826
16	   0.836
17	   0.836
18	   0.836
19	   0.836
20	   0.836
21	   0.836
22	   0.836
23	   0.836
24	   0.836
25	   0.836
