Datum	Pressure(kPa)
1	   9.442
2	   9.432
3	   9.432
4	   9.432
5	   9.442
6	   9.442
7	   9.442
8	   9.442
9	   9.432
10	   9.442
11	   9.442
12	   9.442
13	   9.442
14	   9.442
15	   9.442
16	   9.442
17	   9.432
18	   9.442
19	   9.442
20	   9.442
21	   9.442
22	   9.442
23	   9.442
24	   9.432
25	   9.432
