Datum	Pressure(kPa)
1	  -3.740
2	  -3.740
3	  -3.751
4	  -3.740
5	  -3.751
6	  -3.740
7	  -3.740
8	  -3.751
9	  -3.751
10	  -3.751
11	  -3.751
12	  -3.761
13	  -3.751
14	  -3.751
15	  -3.751
16	  -3.751
17	  -3.740
18	  -3.740
19	  -3.740
20	  -3.751
21	  -3.740
22	  -3.740
23	  -3.751
24	  -3.740
25	  -3.740
