Count,Error
361,19
399,19.9749843554382
363,19.0525588832577
367,19.157244060668
374,19.3390796058137
383,19.5703857907809
349,18.6815416922694
327,18.0831413200251
373,19.313207915828
350,18.7082869338697
404,20.0997512422418
332,18.2208671582886
365,19.1049731745428
330,18.165902124585
373,19.313207915828
345,18.5741756210067
343,18.5202591774521
347,18.6279360101972
370,19.2353840616713
362,19.0262975904404
347,18.6279360101972
372,19.2873015219859
356,18.8679622641132
334,18.2756668824971
377,19.4164878389476
375,19.3649167310371
362,19.0262975904404
345,18.5741756210067
352,18.7616630392937
395,19.8746069143518
358,18.9208879284245
377,19.4164878389476
331,18.1934053986603
380,19.4935886896179
371,19.2613602842582
355,18.8414436814168
334,18.2756668824971
358,18.9208879284245
367,19.157244060668
319,17.8605710994918
368,19.1833260932509
346,18.6010752377383
385,19.6214168703486
381,19.5192212959431
323,17.9722007556114
345,18.5741756210067
339,18.411952639522
342,18.4932420089069
394,19.8494332412792
371,19.2613602842582
414,20.3469899493758
318,17.832554500127
362,19.0262975904404
327,18.0831413200251
395,19.8746069143518
337,18.3575597506858
393,19.824227601599
365,19.1049731745428
371,19.2613602842582
369,19.2093727122985
383,19.5703857907809
336,18.3303027798234
364,19.0787840283389
351,18.7349939951952
379,19.4679223339318
385,19.6214168703486
367,19.157244060668
366,19.131126469709
333,18.2482875908947
348,18.6547581061776
363,19.0525588832577
399,19.9749843554382
383,19.5703857907809
371,19.2613602842582
377,19.4164878389476
375,19.3649167310371
343,18.5202591774521
347,18.6279360101972
358,18.9208879284245
324,18
357,18.8944436276912
372,19.2873015219859
338,18.3847763108502
387,19.672315572906
374,19.3390796058137
353,18.7882942280559
379,19.4679223339318
383,19.5703857907809
344,18.5472369909914
379,19.4679223339318
356,18.8679622641132
356,18.8679622641132
411,20.2731349327133
392,19.7989898732233
419,20.4694894904587
422,20.5426385841741
378,19.4422220952236
401,20.0249843945008
377,19.4164878389476
446,21.1187120819429
