"Run 1: Time (s)","Run 1: Potential (V)","Run 1: Potential 2 (V)"
0,-0.017094017094,-0.002442002442
0.2,-0.017094017094,-0.01221001221
0.4,-0.026862026862,-0.002442002442
0.6,-0.017094017094,0.002442002442
0.8,-0.021978021978,-0.002442002442
1,-0.031746031746,-0.00732600732601
1.2,-0.021978021978,0.002442002442
1.4,-0.021978021978,-0.00732600732601
1.6,-0.031746031746,-0.00732600732601
1.8,-0.026862026862,-0.00732600732601
2,-0.026862026862,-0.00732600732601
2.2,-0.031746031746,-0.002442002442
2.4,-0.021978021978,0.002442002442
2.6,-0.031746031746,-0.00732600732601
2.8,-0.026862026862,0.002442002442
3,-0.026862026862,-0.002442002442
3.2,-0.031746031746,-0.00732600732601
3.4,-0.03663003663,0.002442002442
3.6,-0.031746031746,0.00732600732601
3.8,-0.03663003663,-0.002442002442
4,-0.041514041514,0.002442002442
4.2,-0.03663003663,0.00732600732601
4.4,-0.03663003663,-0.00732600732601
4.6,-0.041514041514,0.002442002442
4.8,-0.03663003663,0.00732600732601
5,-0.041514041514,0.002442002442
5.2,-0.046398046398,-0.002442002442
5.4,-0.041514041514,0.00732600732601
5.6,-0.041514041514,0.00732600732601
5.8,-0.0512820512821,-0.00732600732601
6,-0.046398046398,0.00732600732601
6.2,-0.041514041514,0.00732600732601
6.4,-0.0512820512821,0.00732600732601
6.6,-0.046398046398,0.01221001221
6.8,-0.046398046398,0.002442002442
7,-0.046398046398,0.00732600732601
7.2,-0.046398046398,0.01221001221
7.4,-0.0512820512821,0.00732600732601
7.6,-0.0512820512821,0.00732600732601
7.8,-0.0512820512821,0.00732600732601
8,-0.0512820512821,0.01221001221
8.2,-0.0561660561661,0.002442002442
8.4,-0.0512820512821,0.01221001221
8.6,-0.046398046398,0.01221001221
8.8,-0.0610500610501,0.01221001221
9,-0.0561660561661,0.017094017094
9.2,-0.0610500610501,0.00732600732601
9.4,-0.0561660561661,0.01221001221
9.6,-0.0610500610501,0.00732600732601
9.8,-0.0610500610501,0.021978021978
10,-0.0610500610501,0.017094017094
10.2,-0.0610500610501,0.017094017094
10.4,-0.0659340659341,0.00732600732601
10.6,-0.0659340659341,0.017094017094
10.8,-0.0659340659341,0.021978021978
11,-0.0610500610501,0.017094017094
11.2,-0.0659340659341,0.017094017094
11.4,-0.0659340659341,0.00732600732601
11.6,-0.0561660561661,0.017094017094
11.8,-0.0659340659341,0.017094017094
12,-0.0659340659341,0.00732600732601
12.2,-0.0659340659341,0.01221001221
12.4,-0.0659340659341,0.021978021978
12.6,-0.0757020757021,0.017094017094
12.8,-0.0708180708181,0.01221001221
13,-0.0708180708181,0.01221001221
13.2,-0.0708180708181,0.01221001221
13.4,-0.0659340659341,0.00732600732601
13.6,-0.0757020757021,0.017094017094
13.8,-0.0757020757021,0.01221001221
14,-0.0708180708181,0.00732600732601
14.2,-0.0757020757021,0.002442002442
14.4,-0.0708180708181,0.01221001221
14.6,-0.0708180708181,0.01221001221
14.8,-0.0757020757021,0.002442002442
15,-0.0757020757021,-0.002442002442
15.2,-0.0708180708181,0.00732600732601
15.4,-0.0805860805861,0.01221001221
15.6,-0.0757020757021,0.00732600732601
15.8,-0.0757020757021,0.00732600732601
16,-0.0757020757021,0.017094017094
16.2,-0.0757020757021,0.01221001221
16.4,-0.0708180708181,0.002442002442
16.6,-0.0708180708181,0.017094017094
16.8,-0.0805860805861,0.017094017094
17,-0.0757020757021,0.00732600732601
17.2,-0.0805860805861,0.00732600732601
17.4,-0.0708180708181,0.01221001221
17.6,-0.0805860805861,0.01221001221
17.8,-0.0805860805861,0.00732600732601
18,-0.0757020757021,0.017094017094
18.2,-0.0854700854701,0.002442002442
18.4,-0.0757020757021,0.01221001221
18.6,-0.0805860805861,0.017094017094
18.8,-0.0854700854701,0.01221001221
19,-0.0854700854701,0.01221001221
19.2,-0.0854700854701,0.01221001221
19.4,-0.0854700854701,0.00732600732601
19.6,-0.0854700854701,0.00732600732601
19.8,-0.0854700854701,0.002442002442
20,-0.0854700854701,0.002442002442
20.2,-0.0805860805861,0.00732600732601
20.4,-0.0805860805861,0.00732600732601
20.6,-0.0903540903541,0.00732600732601
